记录号:	题名责任者项	出版发行项
4	国术运动的生理与医疗功能研析 [海外中文图书] / 郭秉道著	"台北 : 学海出版社, [1980] (中华民国六十九年)"
57	剑术练习 [专著]	"香港 : 太平书局, 1961"
150	少林拳术秘诀 [专著]	"天津 : 天津市古籍书店, 1988"
200	武林精粹 [专著] . 第四集 / 《武林》杂志编辑部编	"广州 : 科学普及出版社广州分社, [1986]"
78	下功夫、学功夫 [海外中文图书]	"台北 : 台湾新生报社, 1984"
3	陈氏太极拳大全. 第一卷 [海外中文图书] / 潘咏周著	"台北县 : 静庐陈氏太极拳研究会, [1999](中华民国88年), [2009](中华民国98年)重印)"
49	看图学太极 [专著]	"北京 : 北京体育大学出版社, 2000-"
52	古拳谱系列武术丛书 [专著]	"太原 : 山西科学技术出版社, 2000"
53	中华武术展现工程系列书 [专著]	"北京 : 人民体育出版社, 2000-"
109	名师出高徒丛书 [专著]	"北京 : 人民体育出版社, 1999-"
110	中华传统武术大观丛书 [专著]	"北京 : 人民体育出版社, 1999-"
131	董海川八卦掌秘诀精粹丛书 [专著]	"北京 : 人民中国出版社, 1999-"
194	少林功夫丛书 [专著]	"北京 : 北京体育大学出版社, 1998-"
198	青少年武术入门丛书 [专著]	"北京 : 北京体育大学出版社, 1998-"
448	少林功夫 = Shaolin kungfu [专著] / 邢雁主编	"北京 : 中国画报出版社, [1991]"
36	市定古迹新竹高中剑道馆调查研究暨修复计画 [海外中文图书] / 徐明福[等]著	"新竹县 : 新竹市政府, [2005](中华民国九十四年)"
102	武术泰斗教你学拳系列丛书 [专著]	"上海 : 上海教育出版社, 2005-"
103	中国名拳系列 [专著]	"合肥 : 安徽科学技术出版社, 2005-"
104	吴式太极瑰宝丛书 [专著]	"太原 : 山西科学技术出版社, 2005-"
107	太极跤 [海外中文图书]	"台北 : 大展出版社有限公司, 2005-"
109	南少林系列 [专著]	"珠海 : 珠海出版社, 2005"
184	最后的功夫 [专著] : 中华功夫全析 / 潘海宁著	"长春 : 吉林科学技术出版社, [2004]"
254	罗汉神打 [专著] / 高翔主编	"合肥 : 安徽科学技术出版社, [2003], 2004重印)"
258	大力金刚手 [专著] / 高翔主编	"合肥 : 安徽科学技术出版社, [2003], 2004重印)"
271	中国武学优秀传统拳械系列丛书 [专著]	"北京 : 人民体育出版社, 2004-"
272	中国古代健身功法 [专著]	"北京 : 人民体育出版社, 2004-"
393	骄龙文库 [专著]	"太原 : 山西科学技术出版社, 2003-"
394	简化太极拳丛书 [专著]	"北京 : 人民体育出版社, 2003-"
395	社区太极拳·剑运动系列丛书 [专著]	"北京 : 华夏出版社, 2003-"
397	少林绝技系列 [专著]	"合肥 : 安徽科学技术出版社, 2003-"
398	中华武术世纪精华 [专著]	"北京 : 原子能出版社, 2003"
402	真武丛书 [专著]	"太原 : 山西科学技术出版社, 2003"
457	陈氏太极拳大全. 第二卷 [海外中文图书] / 潘咏周著	"台北县 : 静庐陈氏太极拳研究会, [2002](中华民国91年), [2009](中华民国98年)印)"
486	福建南少林拳·械丛书 [专著]	"福州 : 福建人民出版社, 2002-"
487	太极拳技击应用丛书 [专著]	"北京 : 人民体育出版社, 2002-"
488	武术分解教学丛书 [专著]	"合肥 : 安徽科学技术出版社, 2002-"
547	古拳谱丛书 [专著]	"太原 : 山西科学技术出版社, 2001-"
549	国术丛书. 第一辑 [专著]	"太原 : 山西科学技术出版社, 2001-"
550	国术丛书 [专著]	"太原 : 山西科学技术出版社, 2001-"
552	武术系列丛书 [专著]	"合肥 : 安徽科学技术出版社, 2001-"
554	古拳谱丛书. 第二辑 [专著]	"太原 : 山西科学技术出版社, 2001"
43	"武动 [海外中文图书] : 武术·养生·文化 = Martial movement : martial art, improvement of healthy, and culture / 李明珠主编"	"台北 : 国立历史博物馆, [2004](中华民国九十三年)"
3	澎湖及连江县在海洋运动的体育发展策略研究 [海外中文图书] : 台湾原住民的传统体育研究，以卑南、阿美族为对象 / 陈正男，孙大川，赵绮芳计画主持	"[台北] : [台湾行政院体育委员会], [2004]"
